country,population,land_area_sq_km,pop_density
Afghanistan,38346720.00,652230.00,59.00
Albania,3095344.00,27398.00,113.00
Algeria,44178884.00,2381740.00,19.00
American Samoa,45443.00,224.00,203.00
Andorra,85560.00,468.00,183.00
Angola,34795287.00,1246700.00,28.00
Anguilla,18741.00,91.00,206.00
Antigua and Barbuda,100335.00,443.00,226.00
Argentina,46245668.00,2736690.00,17.00
Armenia,3000756.00,28203.00,106.00
Aruba,122320.00,180.00,680.00
Australia,26141369.00,7682300.00,3.00
Austria,8913088.00,82445.00,108.00
Azerbaijan,10353296.00,82629.00,125.00
"Bahamas, The",355608.00,10010.00,36.00
Bahrain,1540558.00,760.00,2027.00
Bangladesh,165650475.00,130170.00,1273.00
Barbados,302674.00,430.00,704.00
Belarus,9413505.00,202900.00,46.00
Belgium,11847338.00,30278.00,391.00
Belize,412387.00,22806.00,18.00
Benin,13754688.00,110622.00,124.00
Bermuda,72337.00,54.00,1340.00
Bhutan,867775.00,38394.00,23.00
Bolivia,12054379.00,1083301.00,11.00
Bosnia and Herzegovina,3816459.00,51187.00,75.00
Botswana,2384246.00,566730.00,4.00
Brazil,217240060.00,8358140.00,26.00
British Virgin Islands,38632.00,151.00,256.00
Brunei,478054.00,5265.00,91.00
Bulgaria,6873253.00,108489.00,63.00
Burkina Faso,21935389.00,273800.00,80.00
Burma,57526449.00,653508.00,88.00
Burundi,12696478.00,25680.00,494.00
Cabo Verde,596707.00,4033.00,148.00
Cambodia,16713015.00,176515.00,95.00
Cameroon,29321637.00,472710.00,62.00
Canada,38232593.00,9093507.00,4.00
Cayman Islands,64309.00,264.00,244.00
Central African Republic,5454533.00,622984.00,9.00
Chad,17963211.00,1259200.00,14.00
Chile,18430408.00,743812.00,25.00
China,1410539758.00,9326410.00,151.00
Christmas Island,2205.00,135.00,16.00
Cocos (Keeling) Islands,596.00,14.00,43.00
Colombia,49059221.00,1038700.00,47.00
Comoros,876437.00,2235.00,392.00
"Congo, Democratic Republic of the",108407721.00,2267048.00,48.00
"Congo, Republic of the",5546307.00,341500.00,16.00
Cook Islands,8128.00,236.00,34.00
Costa Rica,5204411.00,51060.00,102.00
Croatia,4188853.00,55974.00,75.00
Cuba,11008112.00,109820.00,100.00
Curacao,152379.00,444.00,343.00
Cyprus,1295102.00,9241.00,140.00
Czechia,10705384.00,77247.00,139.00
Denmark,5920767.00,42434.00,140.00
Djibouti,957273.00,23180.00,41.00
Dominica,74629.00,751.00,99.00
Dominican Republic,10694700.00,48320.00,221.00
Ecuador,17289554.00,276841.00,62.00
Egypt,107770524.00,995450.00,108.00
El Salvador,6568745.00,20721.00,317.00
Equatorial Guinea,1679172.00,28051.00,60.00
Eritrea,6209262.00,101000.00,61.00
Estonia,1211524.00,42388.00,29.00
Eswatini,1121761.00,17204.00,65.00
Ethiopia,113656596.00,1096570.00,104.00
Falkland Islands (Islas Malvinas),3198.00,12173.00,0.00
Faroe Islands,52269.00,1393.00,38.00
Fiji,943737.00,18274.00,52.00
Finland,5601547.00,303815.00,18.00
France,68305148.00,640427.00,107.00
French Polynesia,299356.00,3827.00,78.00
Gabon,2340613.00,257667.00,9.00
"Gambia, The",2413403.00,10120.00,238.00
Gaza Strip,1997328.00,360.00,5548.00
Georgia,4935518.00,69700.00,71.00
Germany,84316622.00,348672.00,242.00
Ghana,33107275.00,227533.00,146.00
Gibraltar,29573.00,6.50,4550.00
Greece,10533871.00,130647.00,81.00
Greenland,57792.00,2166086.00,0.00
Grenada,113949.00,344.00,331.00
Guam,169086.00,544.00,311.00
Guatemala,17703190.00,107159.00,165.00
Guernsey,67491.00,78.00,865.00
Guinea,13237832.00,245717.00,54.00
Guinea-Bissau,2026778.00,28120.00,72.00
Guyana,789683.00,196849.00,4.00
Haiti,11334637.00,27560.00,411.00
Holy See (Vatican City),1000.00,0.44,2273.00
Honduras,9459440.00,111890.00,85.00
Hong Kong,7276588.00,1073.00,6782.00
Hungary,9699577.00,89608.00,108.00
Iceland,357603.00,100250.00,4.00
India,1389637446.00,2973193.00,467.00
Indonesia,277329163.00,1811569.00,153.00
Iran,86758304.00,1531595.00,57.00
Iraq,40462701.00,437367.00,93.00
Ireland,5275004.00,68883.00,77.00
Isle of Man,91382.00,572.00,160.00
Israel,8914885.00,21497.00,415.00
Italy,61095551.00,294140.00,208.00
Jamaica,2818596.00,10831.00,260.00
Japan,124214766.00,364485.00,341.00
Jersey,102146.00,116.00,881.00
Jordan,10998531.00,88802.00,124.00
Kazakhstan,19398331.00,2699700.00,7.00
Kenya,55864655.00,569140.00,98.00
Kiribati,114189.00,811.00,141.00
"Korea, North",25955138.00,120408.00,216.00
"Korea, South",51844834.00,96920.00,535.00
Kosovo,1952701.00,10887.00,179.00
Kuwait,3068155.00,17818.00,172.00
Kyrgyzstan,6071750.00,191801.00,32.00
Laos,7749595.00,230800.00,34.00
Latvia,1842226.00,62249.00,30.00
Lebanon,5296814.00,10230.00,518.00
Lesotho,2193970.00,30355.00,72.00
Liberia,5358483.00,96320.00,56.00
Libya,7137931.00,1759540.00,4.00
Liechtenstein,39711.00,160.00,248.00
Lithuania,2683546.00,62680.00,43.00
Luxembourg,650364.00,2586.00,251.00
Macau,635293.00,28.20,22528.00
Madagascar,28172462.00,581540.00,48.00
Malawi,20794353.00,94080.00,221.00
Malaysia,33871431.00,328657.00,103.00
Maldives,390164.00,298.00,1309.00
Mali,20741769.00,1220190.00,17.00
Malta,464186.00,316.00,1469.00
Marshall Islands,79906.00,181.00,441.00
Mauritania,4161925.00,1030700.00,4.00
Mauritius,1308222.00,2030.00,644.00
Mexico,129150971.00,1943945.00,66.00
"Micronesia, Federated States of",101009.00,702.00,144.00
Moldova,3287326.00,32891.00,100.00
Monaco,31400.00,2.00,15700.00
Mongolia,3227863.00,1553556.00,2.00
Montenegro,604966.00,13452.00,45.00
Montserrat,5414.00,102.00,53.00
Morocco,36738229.00,716300.00,51.00
Mozambique,31693239.00,786380.00,40.00
Namibia,2727409.00,823290.00,3.00
Nauru,9811.00,21.00,467.00
Nepal,30666598.00,143351.00,214.00
Netherlands,17400824.00,33893.00,513.00
New Caledonia,297160.00,18275.00,16.00
New Zealand,5053004.00,264537.00,19.00
Nicaragua,6301880.00,119990.00,53.00
Niger,24484587.00,1266700.00,19.00
Nigeria,225082083.00,910768.00,247.00
Niue,2000.00,260.00,8.00
Norfolk Island,1748.00,36.00,49.00
North Macedonia,2130936.00,25433.00,84.00
Northern Mariana Islands,51475.00,464.00,111.00
Norway,5553840.00,304282.00,18.00
Oman,3764348.00,309500.00,12.00
Pakistan,242923845.00,770875.00,315.00
Palau,21695.00,459.00,47.00
Panama,4337768.00,74340.00,58.00
Papua New Guinea,9593498.00,452860.00,21.00
Paraguay,7356409.00,397302.00,19.00
Peru,32275736.00,1279996.00,25.00
Philippines,114597229.00,298170.00,384.00
Pitcairn Islands,50.00,47.00,1.00
Poland,38093101.00,304255.00,125.00
Portugal,10242081.00,91470.00,112.00
Puerto Rico,3098423.00,8959.00,346.00
Qatar,2508182.00,11586.00,216.00
Romania,18519899.00,229891.00,81.00
Russia,142021981.00,16377742.00,9.00
Rwanda,13173730.00,24668.00,534.00
Saint Barthelemy,7103.00,25.00,284.00
"Saint Helena, Ascension, and Tristan da Cunha",7925.00,122.00,65.00
Saint Kitts and Nevis,54488.00,261.00,209.00
Saint Lucia,167122.00,606.00,276.00
Saint Martin,32792.00,50.00,656.00
Saint Pierre and Miquelon,5257.00,242.00,22.00
Saint Vincent and the Grenadines,100969.00,389.00,260.00
Samoa,206179.00,2821.00,73.00
San Marino,34682.00,61.00,569.00
Sao Tome and Principe,217164.00,964.00,225.00
Saudi Arabia,35354380.00,2149690.00,16.00
Senegal,17923036.00,192530.00,93.00
Serbia,6739471.00,77474.00,87.00
Seychelles,97017.00,455.00,213.00
Sierra Leone,8692606.00,71620.00,121.00
Singapore,5921231.00,709.20,8349.00
Sint Maarten,45126.00,34.00,1327.00
Slovakia,5431252.00,48105.00,113.00
Slovenia,2101208.00,20151.00,104.00
Solomon Islands,702694.00,27986.00,25.00
Somalia,12386248.00,627337.00,20.00
South Africa,57516665.00,1214470.00,47.00
Spain,47163418.00,498980.00,95.00
Sri Lanka,23187516.00,64630.00,359.00
Sudan,47958856.00,1731671.00,28.00
Suriname,632638.00,156000.00,4.00
Svalbard,2926.00,62045.00,0.00
Sweden,10483647.00,410335.00,26.00
Switzerland,8508698.00,39997.00,213.00
Syria,21563800.00,185887.00,116.00
Taiwan,23580712.00,32260.00,731.00
Tajikistan,9119347.00,141510.00,64.00
Tanzania,63852892.00,885800.00,72.00
Thailand,69648117.00,510890.00,136.00
Timor-Leste,1445006.00,14874.00,97.00
Togo,8492333.00,54385.00,156.00
Tokelau,1647.00,12.00,137.00
Tonga,105517.00,717.00,147.00
Trinidad and Tobago,1405646.00,5128.00,274.00
Tunisia,11896972.00,155360.00,77.00
Turkey (Turkiye),83047706.00,769632.00,108.00
Turkmenistan,5636011.00,469930.00,12.00
Turks and Caicos Islands,58286.00,948.00,61.00
Tuvalu,11544.00,26.00,444.00
Uganda,46205893.00,197100.00,234.00
Ukraine,43528136.00,579330.00,75.00
United Arab Emirates,9915803.00,83600.00,119.00
United Kingdom,67791400.00,241930.00,280.00
United States,337341954.00,9147593.00,37.00
Uruguay,3407213.00,175015.00,19.00
Uzbekistan,31104937.00,425400.00,73.00
Vanuatu,308043.00,12189.00,25.00
Venezuela,29789730.00,882050.00,34.00
Vietnam,103808319.00,310070.00,335.00
Virgin Islands,105413.00,346.00,305.00
Wallis and Futuna,15891.00,142.00,112.00
West Bank,3000021.00,5640.00,532.00
Yemen,30984689.00,527968.00,59.00
Zambia,19642123.00,743398.00,26.00
Zimbabwe,15121004.00,386847.00,39.00
